Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
CMDCA;CANETA;5;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDCA 28.04.docx
CMDCA;CARTOLINA;1;2026-06-08;2026-06-08;08/06 a 08/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA   JUNHO   CMDCA.docx
CMDCA;CLIPS Nª 04 1 CX;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA ENTREGA 22 de JUNHO de 2026.docx
CMDCA;CLIPS Nº 06 1 CX;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA ENTREGA 22 de JUNHO de 2026.docx
CMDCA;CLIPS Nº 08 1 CX;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA ENTREGA 22 de JUNHO de 2026.docx
CMDCA;CLIPS Nº 08 1 CX;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CMDCA  .docx
CMDCA;CLIPS Nº 6/0;1;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDCA 28.04.docx
CMDCA;CORRETIVO;1;2026-06-08;2026-06-08;08/06 a 08/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA   JUNHO   CMDCA.docx
CMDCA;CORRETIVO;1;2026-06-25;2026-06-25;25/06 a 25/06/2026;2026-06;Histórico/Planilha;CMDCA 2 .xlsx
CMDCA;ESCARCELA;1;2026-06-25;2026-06-25;25/06 a 25/06/2026;2026-06;Histórico/Planilha;CMDCA 2 .xlsx
CMDCA;FITA GOMADA;1;2026-06-08;2026-06-08;08/06 a 08/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA   JUNHO   CMDCA.docx
CMDCA;LAPIS;1;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDCA;LAPIS;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA ENTREGA 22 de JUNHO de 2026.docx
CMDCA;LAPIS;1;2026-07-03;2026-07-03;03/07 a 03/07/2026;2026-07;Histórico/Planilha;CMDCA  .docx
CMDCA;MARCA-TEXTO;1;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDCA 28.04.docx
CMDCA;MARCA-TEXTO;1;2026-06-01;2026-06-01;01/06 a 01/06/2026;2026-06;Histórico/Planilha;CMDCA.xlsx
CMDCA;POST-IT;1;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDCA 28.04.docx
CMDCA;POST-IT;1;2026-05-04;2026-05-04;04/05 a 04/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDCA;POST-IT;1;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDCA;POST-IT;1;2026-06-08;2026-06-08;08/06 a 08/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA   JUNHO   CMDCA.docx
CMDCA;POST-IT;1;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CMDCA 15 de junho de 2026.ods
CMDCA;POST-IT;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA ENTREGA 22 de JUNHO de 2026.docx
CMDCA;RESMA DE PAPEL A4;1;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDCA 28.04.docx
CMDCA;RESMA DE PAPEL A4;1;2026-05-04;2026-05-04;04/05 a 04/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDCA;RESMA DE PAPEL A4;1;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDCA;RESMA DE PAPEL A4;1;2026-06-08;2026-06-08;08/06 a 08/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA   JUNHO   CMDCA.docx
CMDCA;RESMA DE PAPEL A4;1;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CMDCA 15 de junho de 2026.ods
CMDCA;RESMA DE PAPEL A4;1;2026-06-22;2026-06-22;22/06 a 22/06/2026;2026-06;Histórico/Planilha;MATERIAL CMDCA ENTREGA 22 de JUNHO de 2026.docx
CMDCA;TESOURA;1;2026-05-25;2026-05-25;25/05 a 25/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDI;PINCEL ATOMICO;2;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDI1.xls
CMDI;PINCEL ATOMICO;2;2026-05-18;2026-05-18;18/05 a 18/05/2026;2026-05;Histórico/Planilha;CMDI 18.05.26.xls
CMDI;PINCEL ATOMICO;2;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CMDI 16 de junho de 2026 - JUNHO.xls
CMDI;RESMA DE PAPEL A4;1;2026-05-18;2026-05-18;18/05 a 18/05/2026;2026-05;Histórico/Planilha;CMDI 18.05.26.xls
CMDI;RESMA DE PAPEL A4;1;2026-06-16;2026-06-16;16/06 a 16/06/2026;2026-06;Histórico/Planilha;CMDI 16 de junho de 2026 - JUNHO.xls
Cohab/Cohatrac;CANETA AZUL;5;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;CANETA AZUL;5;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;CANETA AZUL;3;2026-05-26;2026-05-26;26/05 a 26/05/2026;2026-05;Histórico/Planilha;CT COHAB  (1).xlsx
Cohab/Cohatrac;CANETA AZUL;5;2026-06-09;2026-06-09;09/06 a 09/06/2026;2026-06;Histórico/Planilha;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;CANETA AZUL E PRETA;5;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT COHAB  (2).xlsx
Cohab/Cohatrac;CANETA PRETA;5;2026-04-23;2026-04-23;23/04 a 23/04/2026;2026-04;Histórico/Planilha;CT COHAB ).xlsx
Cohab/Cohatrac;CANETA PRETA;5;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT COHAB .xlsx
Cohab/Cohatrac;CANETA PRETA;3;2026-05-26;2026-05-26;26/05 a 26/05/2026;2026-05;Histórico/Planilha;CT COHAB  (1).xlsx
