Conselho Tutelar;Item;Quantidade;Data (AAAA-MM-DD);Data (DD/MM/AAAA);Período;Mês;Arquivo
Coroadinho/João Paulo;CLIPS Nº 2/0;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;CLIPS Nº 2/0;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;CLIPS Nº 2/0;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Coroadinho/João Paulo;CLIPS Nº 4/0;1;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;CLIPS Nº 4/0;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;CLIPS Nº 8/0;1;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;CLIPS Nº 8/0;1;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;CLIPS PEQUENO;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;CLIPS PEQUENO;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;ESCARCELA DE PLASTICO FINA;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;ESCARCELA DE PLASTICO FINA;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;ESCARCELA DE PLASTICO FINA;2;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;ESCARCELAS DE PLASTICO FINA;3;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;EVA(AZUL,AMARELO,VERDE,VERMELHO, LARANJA,ROSA );5;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;GRAMPEADOR MEDIO;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Coroadinho/João Paulo;LAPIS DE CERA;1;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;LAPIS DE CERA;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;LAPIS DE CERA;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;LAPIS DE CERA;1;2026-06-24;24/06/2026;24/06 a 24/06/2026;2026-06;CT COROADINHO Entrega dia 24 de junho de 2026.ods
Coroadinho/João Paulo;LAPIS DE CERA;1;2026-07-02;02/07/2026;02/07 a 02/07/2026;2026-07;CT COROADINHO.ods
Coroadinho/João Paulo;MARCA TEXTO;2;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;MARCA-TEXTO;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
